"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1 uf";;;
2;"R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"4k7";;;
3;"16Mhz1";"CrystalSMD";1;"Crystal";;;
4;"C3,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22 pf";;;
5;"J5";"PinHeader_1x15_P2.54mm_Vertical";1;"Conn_01x15_Pin";;;
6;"R1,R-PWR1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"499";;;
7;"J7,rst1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
8;"LED-PWR1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Green";;;
9;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100 nf";;;
10;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
11;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
12;"LED-BUILTIN1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"yellow";;;
13;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
14;"U2";"DIP-28_W7.62mm";1;"MCP23017_SP";;;
15;"C6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.22 uf";;;
16;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10 uf";;;
17;"R-pullup1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10k";;;
18;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
19;"IC6";"SOT230P700X180-4N";1;"LM340MPX-5.0_NOPB";;;
